Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
AMERICAN SPORTSCOPTER,Ultrasport 496,ULTS,L,500,L,L,
AMEUR,Altania,BLBU,L,0,L,L,
ANAHUAC,Tauro,TARO,L,0,L,L,
ANTONOV,An-124 Ruslan,A124,H,405000,J,J,
ANTONOV,An-148,A148,M,43700,M,LM,
ANTONOV,An-158,A158,M,43700,M,LM,
ANTONOV,An-178,A178,M,52400,M,LM,
ANTONOV,An-225 Mriya,A225,H,600000,J,J,
ANTONOV,An-74-300,A743,M,36500,S,S,
ANTONOV,An-12 ,AN12,M,61000,M,LM,
ANTONOV,An-2,AN2,L,5500,L,L,
ANTONOV,An-22 Antheus,AN22,H,250000,H,H,
ANTONOV,An-24,AN24,M,21000,S,S,
ANTONOV,An-26,AN26,M,24000,S,S,
ANTONOV,An-3,AN3,L,5800,L,L,
ANTONOV,An-30,AN30,M,21800,S,S,
ANTONOV,An-32 ,AN32,M,27000,S,S,
ANTONOV,An-38,AN38,M,8800,L,L,
ANTONOV,An-70,AN70,M,130000,M,UM,
ANTONOV,An-72,AN72,M,34500,S,S,
ANTONOV,An-8,AN8,M,41000,M,LM,
APPLEBAY,Zia,ZIA,L,0,L,L,
AQUILA,A-210,A210,L,750,L,L,
ARADO,Ar-79,AR79,L,0,L,L,
ARCTIC,S-4 Privateer,S4,L,0,L,L,
ARION,Lightning,ALIG,L,692,L,L,
ARROW (1),Sport,ARWF,L,694,L,L,
ARROW (2),Yarrow Arrow,YARR,L,576,L,L,
ASAP,Beaver,BEVR,L,0,L,L,
ASAP,Chinook,CHIN,L,0,L,L,
ASSOCIATED AIR,Liberty 181,L181,L,0,L,L,
ASTA,S-70 Seahawk,H60,M,10659,S,S,
ASTA,Seahawk,H60,M,10659,S,S,
ATAC,Patriot 2,PAT2,L,0,L,L,
ATEC,321 Faeta,FAET,L,650,L,L,
ATEC,122 Zephyr,ZEPH,L,650,L,L,
ATG,ATG-1 Javelin,ATG1,L,0,L,L,
ATLAS,AM-3 Bosbok,AM3,L,1750,L,L,
ATLAS,Oryx,AS32,M,8600,S,S,
ATLAS,SA-330 Oryx,AS32,M,7400,S,S,
ATLAS,CSH-2 Rooivalk,RVAL,M,8700,S,S,
